Scientific name;Family;Svenskt namn;Dyntaxa ID number;Establishment;Red-listed;Red-listed values;Time of immigration;Införd;Index of invasive concern;Risk för Invasiv?;Biodiversity relevance (1-8);Antalet andra organismer som är beroende av, eller använder, arten som födokälla, substrat, skydd eller mutualistisk partner.;Nektar produktion (1-7);Heat requirement;Värmekrav klara som lägst (odlingszoner);Cold requirement;Kylkrav (;Temp. optimum;Continentality;Light;Växtnamn;Växtsätt;kontroll;Växtnamn;Medelhöjd (cm);Maxhöjd (cm);Blomningsstart;Blomningsslut;Phenology;Börjar Blomma;Extreme phenology;Sena;Kontroll;Växtnamn;Blommande?;Blomfärg;Kontroll;Ljus;Moisture;Fukt;Soil reaction (pH);pH;Nitrogen (N);Kväve;Phosphorus (P);Fosfor;Salinity;Salttålighet;Grazing/mowing;Bete/slåtter;Soil disturbance;Mark störning;Longevity;Livslängd;Pollinator dependence;Pollinering;Seed dormancy;Vilande frön;Seed bank;Fröbank;Seed disperser;Nitrogen fixation;Photosynthetic pathway;Mycorrhiza;Carnivory;Parasitism;Plantskolor;;1 Siliceous rock;2 Ultrabasic rock;3 Calcareous rock;4 Dry heath;5. Dry meadow;6 Steppic meadow;7 Sand steppe;8 Moist heath;9 Moist meadow;10 Moist calcareous meadow;11 Raised bog;12 Poor/acidic fen;13 Intermediate-rich fen;14 Rich/calcareous fen;15 Tall herb/sedge/reed meadow;16 Oligotrophic water & shores;17 Mesotrophic water & shores;18 Eutrophic water & shores;19 sandy/stony/rocky sea shores;20 Sea shore meadows;21 Base-poor wasteland;22 Base-rich wasteland;23. Arable land;24 Gravelly ground;25 Ruderal;26 Hedgerows, thickets, wood-margins and groves;27 Heath-type deciduous forest;28 Intermediate deciduous forest;29 Herb-rich deciduous forest;30 Alnus glutinosa swamp;31 Fraxinus/Ulmus/Alnus incana swamp;32 Pinus/Betula swamp;33 Picea swamp;34 Heath-type coniferous forest;35 Vaccinium-type coniferous forest;36 Herb-rich coniferous forest;37 Cacareous conifer forest;38 Subalpine Betula forest
Suaeda maritima (L.) Dumort.;Amaranthaceae;saltört;220966;Resident;NT;1;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;2;10;10. zon 4;1;;3;4;7;Suaeda maritima (L.) Dumort.;Ört;SANT;Suaeda maritima (L.) Dumort.;10;40;Juli;September;10;10. B Jul;3;22-juli;SANT;Suaeda maritima (L.) Dumort.;Ja;Grön;SANT;7. alltid full sol;7;7. fuktig–våt;8;8. alkalisk (pH > 7.5);7;7. mycket kväverik;5;5. begränsad till jordar med hög fosfortillgång;5;konkurrenskraftig endast under hög salthalt;4;4. trivs i både betade/slungna och ohanterade habitat; ;Ingen data;1;strikt ettårig;0c;självbefruktning (främst eller endast); ;Ingen data;2;kortvarig (1–5 år);Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zostera angustifolia (Hornem.) Rchb.;Zosteraceae;smal bandtång;1956;Resident;EN;3;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;1;9;9. zon 5;3;;6;4;7;Zostera angustifolia (Hornem.) Rchb.;Vattenväxt;SANT;Zostera angustifolia (Hornem.) Rchb.;10;50;Juli;Augusti; ;Ingen data; ;Ingen data;SANT;Zostera angustifolia (Hornem.) Rchb.;Ja;Grön;SANT;7. alltid full sol;11;11. grunt (<0.5 m) permanent vatten;8;8. alkalisk (pH > 7.5);6;6. måttligt–mycket kväverik;4;4. gynnas av hög fosfortillgång;5;konkurrenskraftig endast under hög salthalt;4;4. trivs i både betade/slungna och ohanterade habitat; ;Ingen data;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zostera noltii Hornem.;Zosteraceae;dvärgbandtång;1683;Resident;VU;2;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;1;11;11. zon 3;2;;4;5;7;Zostera noltii Hornem.;Vattenväxt;SANT;Zostera noltii Hornem.;20;50;Juli;Augusti; ;Ingen data; ;Ingen data;SANT;Zostera noltii Hornem.;Ja;Grön;SANT;7. alltid full sol;11;11. grunt (<0.5 m) permanent vatten;8;8. alkalisk (pH > 7.5);6;6. måttligt–mycket kväverik;4;4. gynnas av hög fosfortillgång;5;konkurrenskraftig endast under hög salthalt;4;4. trivs i både betade/slungna och ohanterade habitat; ;Ingen data;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data;1;kortlivad (upp till ett eller sällan två år);Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alopecurus arundinaceus Poir.;Poaceae;svartkavle;222205;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;1;8;8. zon 6;6;;9;8;6;Alopecurus arundinaceus Poir.;Gräs;SANT;Alopecurus arundinaceus Poir.;30;100;Juni;Augusti;8;8. B Jun;1;22-juni;SANT;Alopecurus arundinaceus Poir.;Ja;Grön;SANT;6. sol, men tål viss skugga;8;8. våt;7;7. circumneutral (pH 6.5–7.5);8;8. begränsad till naturligt mycket kväverika jordar;5;5. begränsad till jordar med hög fosfortillgång;4;konkurrenskraftig endast under måttlig–hög salthalt;4;4. trivs i både betade/slungna och ohanterade habitat;2;2. koloniserar redan etablerad vegetation, konkurrerar framgångsrikt en tid men blir på sikt utkonkurrerad om ingen markstörning sker;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Passive;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ammophila arenaria (L.) Link;Poaceae;sandrör;219926;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;1;12;12. zon 2;2;;3;4;7;Ammophila arenaria (L.) Link;Gräs;SANT;Ammophila arenaria (L.) Link;30;100;Juni;Augusti;10;10. B Jul;3;22-juli;SANT;Ammophila arenaria (L.) Link;Ja;Grön;SANT;7. alltid full sol;4;4. mesisk;6;6. subneutral–circumneutral;5;5. måttligt kväverik;4;4. gynnas av hög fosfortillgång;4;konkurrenskraftig endast under måttlig–hög salthalt;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;6;6. förökar sig endast i störd/naken jord, kan bestå i årtionden men försvinner gradvis när vegetationen sluter sig;4;långlivad perenn;0c;självbefruktning (främst eller endast);4;med mellanliggande eller djup fysiologisk eller morfofysiologisk viloläge, gror endast efter minst en period av > 35 dagar med kallstratifiering;2;kortvarig (1–5 år);Passive;Nej;C3;AM;0;Nej;;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apium graveolens L.;Apiaceae;selleri;78;Resident;CR;4;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;4;13;13. zon 1;2;;3;4;7;Apium graveolens L.;Ört;SANT;Apium graveolens L.;20;60;Juli;September;10;10. B Jul;3;22-juli;SANT;Apium graveolens L.;Ja;Vit;SANT;7. alltid full sol;8;8. våt;7;7. circumneutral (pH 6.5–7.5);8;8. begränsad till naturligt mycket kväverika jordar;5;5. begränsad till jordar med hög fosfortillgång;4;konkurrenskraftig endast under måttlig–hög salthalt; ;Ingen data;5;5. kräver markstörning för förökning, men etablerade individer kan bestå länge (årtionden–århundraden) i ostörd vegetation;2;tvåårig eller åtminstone döende efter blomning (hapaxant);0c;självbefruktning (främst eller endast);2;ej vilande eller med icke-djup fysiologisk eller fysikalisk viloläge, gror 10–30 dagar efter sådd;4;semi-permanent (över 25 år);Passive;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Artemisia maritima L.;Asteraceae;strandmalört;220319;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;5;5. 51-100;1;11;11. zon 3;5;;7;3;7;Artemisia maritima L.;Ört;SANT;Artemisia maritima L.;30;100;Juli;Augusti;13;13. S Aug;6;05-sep.;SANT;Artemisia maritima L.;Ja;Grön;SANT;7. alltid full sol;7;7. fuktig–våt;8;8. alkalisk (pH > 7.5);7;7. mycket kväverik;5;5. begränsad till jordar med hög fosfortillgång;4;konkurrenskraftig endast under måttlig–hög salthalt;5;5. gynnas av viss betning/slåtter, men överlever även i ohanterade habitat;2;2. koloniserar redan etablerad vegetation, konkurrerar framgångsrikt en tid men blir på sikt utkonkurrerad om ingen markstörning sker;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast);3;med morfologisk, fysikalisk eller mekanisk viloläge, eller med mellanliggande fysiologisk viloläge som resulterar i mycket långsam groning men oberoende av temperatur och säsong (eller kräver <35 dagar av kallstratifiering);2;kortvarig (1–5 år);Passive;Nej;C3;AM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Atriplex calotheca (Rafn) Fr.;Amaranthaceae;flikmålla;220653;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;2;12;12. zon 2;2;;3;6;7;Atriplex calotheca (Rafn) Fr.;Ört;SANT;Atriplex calotheca (Rafn) Fr.;10;50;Juli;Augusti;11;11. S Jul;4;06-aug.;SANT;Atriplex calotheca (Rafn) Fr.;Ja;Grön;SANT;7. alltid full sol;6;6. fuktig;8;8. alkalisk (pH > 7.5);9;9. mestadels på konstgjort kväveberikade jordar;5;5. begränsad till jordar med hög fosfortillgång;4;konkurrenskraftig endast under måttlig–hög salthalt;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;9;9. inte konkurrenskraftig i sluten vegetation, kräver årlig markstörning;1;strikt ettårig;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Atriplex longipes Drejer;Amaranthaceae;brådmålla/skaftmålla;220662;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;2;7;7. zon 7;7;;10;4;7;Atriplex longipes Drejer;Ört;SANT;Atriplex longipes Drejer;30;100;Juli;Augusti;6;6.B Maj;3;22-juli;SANT;Atriplex longipes Drejer;Ja;Grön;SANT;7. alltid full sol;8;8. våt;8;8. alkalisk (pH > 7.5);9;9. mestadels på konstgjort kväveberikade jordar;5;5. begränsad till jordar med hög fosfortillgång;4;konkurrenskraftig endast under måttlig–hög salthalt;4;4. trivs i både betade/slungna och ohanterade habitat;8;8. inte konkurrenskraftig i sluten vegetation, kräver markstörning minst vartannat år;1;strikt ettårig;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Beta vulgaris L.;Amaranthaceae;beta;220681;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;2;12;12. zon 2;2;;3;2;7;Beta vulgaris L.;Ört;SANT;Beta vulgaris L.;50;150;Juni;Augusti;10;10. B Jul;3;22-juli;SANT;Beta vulgaris L.;Ja;Grön ;SANT;7. alltid full sol;5;5. mesisk–fuktig;8;8. alkalisk (pH > 7.5);9;9. mestadels på konstgjort kväveberikade jordar;5;5. begränsad till jordar med hög fosfortillgång;4;konkurrenskraftig endast under måttlig–hög salthalt;2;2. tål sporadisk betning/slåtter men inte regelbunden/upprepad;7;7. förökar sig endast i störd/naken jord, kan bestå några år men försvinner gradvis när vegetationen sluter sig;2;tvåårig eller åtminstone döende efter blomning (hapaxant);0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data;3;långlivad (5–25 år);Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blysmus rufus (Huds.) Link;Cyperaceae;rödsäv;222237;Resident;VU;2;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;1;9;9. zon 5;6;;8;5;7;Blysmus rufus (Huds.) Link;Gräs/halvgräs;SANT;Blysmus rufus (Huds.) Link;5;30;Juli;Augusti;8;8. B Jun;1;22-juni;SANT;Blysmus rufus (Huds.) Link;Ja;Grön;SANT;7. alltid full sol;6;6. fuktig;8;8. alkalisk (pH > 7.5);3;3. måttligt kvävefattig;3;3. trivs med genomsnittlig fosfortillgång;4;konkurrenskraftig endast under måttlig–hög salthalt;7;7. starkt gynnad av betning/slåtter och försvinner inom några år om hantering upphör;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cakile maritima Scop.;Brassicaceae;marviol;220449;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;4;7;7. zon 7;2;;6;5;7;Cakile maritima Scop.;Ört;SANT;Cakile maritima Scop.;10;50;Juli;September;10;10. B Jul;3;22-juli;SANT;Cakile maritima Scop.;Ja;Vit;SANT;7. alltid full sol;6;6. fuktig;8;8. alkalisk (pH > 7.5);7;7. mycket kväverik;5;5. begränsad till jordar med hög fosfortillgång;4;konkurrenskraftig endast under måttlig–hög salthalt;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;8;8. inte konkurrenskraftig i sluten vegetation, kräver markstörning minst vartannat år;1;strikt ettårig;1;pollinering underlättas av insekter, utöver självbefruktning (dvs. självinfertil) och/eller pollinering av abiotiska faktorer; ;Ingen data; ;Ingen data;Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
